"Time,s","Hip Flexion LT,deg","Hip Flexion RT,deg","Hip Abduction LT,deg","Hip Abduction RT,deg","Hip Rotation Ext LT,deg","Hip Rotation Ext RT,deg","Knee Flexion LT,deg","Knee Flexion RT,deg","Ankle Dorsiflexion LT,deg","Ankle Dorsiflexion RT,deg","Ankle Inversion LT,deg","Ankle Inversion RT,deg","Ankle Abduction LT,deg","Ankle Abduction RT,deg","Pelvis course,deg","Pelvis pitch,deg","Pelvis roll,deg","Thigh course LT,deg","Thigh pitch LT,deg","Thigh roll LT,deg","Shank course LT,deg","Shank pitch LT,deg","Shank roll LT,deg","Foot course LT,deg","Foot pitch LT,deg","Foot roll LT,deg","Thigh course RT,deg","Thigh pitch RT,deg","Thigh roll RT,deg","Shank course RT,deg","Shank pitch RT,deg","Shank roll RT,deg","Foot course RT,deg","Foot pitch RT,deg","Foot roll RT,deg","Pelvis Accel Sensor X,mG","Pelvis Accel Sensor Y,mG","Pelvis Accel Sensor Z,mG","Thigh Accel Sensor X LT,mG","Thigh Accel Sensor Y LT,mG","Thigh Accel Sensor Z LT,mG","Shank Accel Sensor X LT,mG","Shank Accel Sensor Y LT,mG","Shank Accel Sensor Z LT,mG","Foot Accel Sensor X LT,mG","Foot Accel Sensor Y LT,mG","Foot Accel Sensor Z LT,mG","Thigh Accel Sensor X RT,mG","Thigh Accel Sensor Y RT,mG","Thigh Accel Sensor Z RT,mG","Shank Accel Sensor X RT,mG","Shank Accel Sensor Y RT,mG","Shank Accel Sensor Z RT,mG","Foot Accel Sensor X RT,mG","Foot Accel Sensor Y RT,mG","Foot Accel Sensor Z RT,mG","Pelvis Rot X,","Pelvis Rot Y,","Pelvis Rot Z,","Thigh LT Rot X,","Thigh LT Rot Y,","Thigh LT Rot Z,","Shank LT Rot X,","Shank LT Rot Y,","Shank LT Rot Z,","Foot LT Rot X,","Foot LT Rot Y,","Foot LT Rot Z,","Thigh RT Rot X,","Thigh RT Rot Y,","Thigh RT Rot Z,","Shank RT Rot X,","Shank RT Rot Y,","Shank RT Rot Z,","Foot RT Rot X,","Foot RT Rot Y,","Foot RT Rot Z,"
0.0,-2.26372,8.09026,10.8883,-12.046,-2.86834,-2.69305,60.1,13.6773,-3.58239,-4.60215,35.8549,-1.85775,-23.1915,4.841,78.1539,9.48652,-4.27396,81.1932,6.88832,6.99165,78.7181,-52.651,-2.40163,115.785,-48.9462,-68.1312,74.717,17.8916,6.76998,73.3274,4.28673,4.71173,77.7753,-0.694799,2.79894,-15.1284,-22.9416,173.343,715.353,126.975,-89.8323,-27.3479,-38.5708,-87.8929,-349.057,647.461,1359.84,88.3819,171.407,-41.5331,-216.778,844.264,-90.8162,-37.1444,-46.4041,60.5129,0.0350217,-0.616148,0.13286,-0.511479,-0.54369,-0.508385,-0.740015,-0.26018,-0.169699,-0.68758,-0.371836,-0.572972,0.529247,-0.587324,0.56499,0.628223,-0.362709,0.589302,-0.260271,0.0227814,-0.936234
0.01,-0.565479,7.50916,11.3311,-12.4656,-3.77465,-2.09991,62.263,13.8074,-5.836,-3.87466,36.797,-1.97859,-22.6185,4.48249,77.8355,9.32353,-4.51328,81.669,8.29277,7.3863,79.3289,-53.2949,-3.16612,117.746,-51.2189,-71.9402,75.0437,17.0834,7.17839,73.6203,3.3567,4.52133,77.7843,-0.857887,2.48263,62.4929,-23.9273,142.092,522.448,-30.7241,-138.68,-126.972,-99.6312,-274.425,2591.33,1648.41,2295.93,198.745,441.372,33.1703,-111.349,596.177,115.229,126.026,30.7406,175.84,0.0348461,-0.615005,0.136124,-0.502752,-0.546928,-0.516823,-0.743801,-0.258177,-0.164876,-0.702284,-0.376499,-0.548108,0.533801,-0.585807,0.560781,0.630153,-0.359469,0.585156,-0.261721,0.0201624,-0.9361
0.02,1.06219,6.92052,11.5596,-12.7573,-5.21445,-1.34652,64.057,13.8998,-6.37336,-3.15512,37.1473,-2.0792,-20.7473,3.89834,77.5785,9.19398,-4.65916,82.7433,9.58613,7.79082,80.7943,-53.6362,-4.34858,117.222,-52.546,-72.1457,75.6068,16.2733,7.58302,74.1441,2.46158,4.3783,77.7888,-0.978527,2.23916,132.815,13.1813,148.93,414.563,-126.975,-122.565,-117.205,-459.465,-669.901,1032.72,1832.01,2373.07,298.843,537.567,111.317,-9.77977,302.257,291.516,109.383,45.399,-0.949754,0.0350745,-0.614085,0.138578,-0.494199,-0.55082,-0.524424,-0.749145,-0.254793,-0.164462,-0.704772,-0.375529,-0.540617,0.538172,-0.583796,0.557302,0.631426,-0.357817,0.580152,-0.262815,0.0181556,-0.935995
0.03,2.69982,6.3302,11.6964,-12.8981,-6.9643,-0.897525,65.7164,13.9732,-5.56546,-2.46822,36.4728,-2.13181,-18.2253,3.53508,77.3886,9.07812,-4.71072,84.2008,10.8418,8.32657,82.8585,-53.7901,-5.98933,114.973,-52.9032,-69.3617,75.9272,15.5098,7.8274,74.4509,1.63153,4.22505,77.7933,-1.088,2.03314,166.023,60.0502,115.23,369.628,278.33,-109.851,-326.669,-902.848,-866.218,215.893,1501.94,2316.84,326.165,528.332,153.834,-0.48241,77.6618,210.928,137.724,140.636,123.061,0.0356708,-0.613244,0.140188,-0.485236,-0.554872,-0.531964,-0.755823,-0.25127,-0.16597,-0.698744,-0.368773,-0.548543,0.542188,-0.581421,0.55444,0.633068,-0.355196,0.576115,-0.263787,0.0164542,-0.935884
0.04,4.29311,5.71895,11.6002,-12.9029,-7.92401,-0.855802,67.3502,14.0551,-4.08945,-1.79087,34.6283,-2.15899,-16.0031,3.49755,77.2684,8.99511,-4.66045,84.9609,12.2026,8.64821,84.1042,-53.8724,-7.17802,111.764,-52.5805,-64.6947,75.9116,14.8142,7.92052,74.4302,0.857029,4.10988,77.7933,-1.17736,1.88747,184.085,134.287,92.775,377.447,383.825,-33.1783,-400.859,-819.842,-741.194,-803.755,738.294,1496.07,313.497,226.08,125.513,-57.1437,70.3204,201.163,-37.1444,123.046,37.5831,0.0366713,-0.612618,0.140861,-0.47763,-0.55832,-0.539746,-0.760015,-0.250406,-0.165855,-0.687483,-0.357156,-0.566142,0.546111,-0.578522,0.552275,0.635653,-0.351155,0.573189,-0.264575,0.0152416,-0.935767
0.05,5.84931,5.1211,11.1874,-12.7016,-7.5465,-1.25075,68.9191,14.1957,-2.40775,-1.13979,32.2317,-2.2064,-14.5973,3.81119,77.2321,8.93064,-4.52961,84.4731,13.7727,8.46502,83.7732,-53.8951,-7.28128,108.152,-51.8236,-59.3661,75.5383,14.208,7.7773,74.0718,0.106335,4.03743,77.7933,-1.29577,1.75428,145.504,129.88,82.9994,524.427,-232.379,-113.754,-297.368,-448.703,-492.694,-1236.31,351.995,1059.07,125.018,-250.017,-54.6747,-14.1653,168.433,4.42003,28.3407,128.407,33.6484,0.0378529,-0.612116,0.140628,-0.472912,-0.560265,-0.548351,-0.759446,-0.253155,-0.163526,-0.673127,-0.344003,-0.587073,0.550027,-0.574079,0.551988,0.639353,-0.345447,0.571308,-0.265605,0.0141503,-0.935579
0.06,7.39013,4.48724,10.5936,-12.2643,-6.35495,-1.76423,70.1979,14.2335,-0.81906,-0.568304,29.8997,-2.18096,-13.792,4.16755,77.2433,8.8759,-4.33282,83.2192,15.4657,7.92764,82.2838,-53.6851,-6.37125,104.452,-50.803,-53.9834,75.0965,13.5851,7.44546,73.6823,-0.56183,3.93527,77.8023,-1.41194,1.66272,85.4505,96.1925,53.7065,581.537,-313.948,-231.467,-311.042,-46.3696,-280.279,-1336.41,150.94,731.934,-139.631,-25.4155,-83.9798,-71.309,299.793,29.8095,8.32132,85.9398,-2.44223,0.0392723,-0.611674,0.139773,-0.469335,-0.561534,-0.557302,-0.754741,-0.258056,-0.161912,-0.657022,-0.33067,-0.608196,0.553769,-0.568229,0.553158,0.642623,-0.339817,0.570024,-0.266593,0.0134263,-0.93539
0.07,8.87666,3.75625,9.98205,-11.7628,-4.94513,-2.25638,70.98,14.1097,0.542674,-0.042185,27.9191,-2.19252,-13.1413,4.45919,77.2796,8.81022,-4.08533,81.7677,17.1023,7.28402,80.349,-53.0797,-4.94062,100.718,-49.5712,-48.7722,74.7108,12.8467,7.12214,73.3584,-1.18397,3.87211,77.8068,-1.52364,1.57324,12.6894,40.5295,44.9271,508.294,-438.023,-347.173,-473.624,233.904,-37.5907,-1388.69,45.9383,501.938,-215.346,311.487,14.6174,-97.6661,462.877,-58.1285,57.6462,13.1506,-15.6031,0.0409453,-0.611146,0.138547,-0.466053,-0.562099,-0.566199,-0.747516,-0.264282,-0.163113,-0.63948,-0.318125,-0.628267,0.557834,-0.562037,0.553908,0.645663,-0.334869,0.568553,-0.267561,0.0127014,-0.935195
0.08,10.2763,2.90302,9.39645,-11.3694,-3.70627,-2.66555,71.2631,13.8599,1.62005,0.462444,26.2424,-2.20582,-12.2535,4.68655,77.3048,8.76004,-3.80733,80.4809,18.6228,6.67263,78.6579,-52.042,-3.65031,97.0067,-48.1528,-43.8546,74.409,11.9938,6.97324,73.1033,-1.79183,3.82474,77.8113,-1.63758,1.49624,-37.114,14.167,33.6995,304.699,-494.667,-323.753,-643.083,361.345,126.445,-1344.72,114.249,387.655,-123.031,460.951,36.6138,-79.1152,457.056,-54.685,38.1092,-54.6966,-26.3218,0.0429089,-0.610705,0.137246,-0.462308,-0.562737,-0.574467,-0.739743,-0.271753,-0.167612,-0.62073,-0.306796,-0.646822,0.562799,-0.556153,0.553239,0.648478,-0.330421,0.566849,-0.268543,0.0120992,-0.934989
0.09,11.6443,1.97107,8.74837,-11.0504,-2.74938,-2.85757,71.0891,13.4821,2.36257,0.955133,24.7244,-2.2382,-11.0102,4.71546,77.3271,8.69618,-3.50635,79.4874,20.051,6.05829,77.5717,-50.5791,-2.85927,93.4984,-46.5457,-39.3366,74.3157,11.0236,6.98033,73.0551,-2.38381,3.77459,77.8248,-1.73588,1.40467,-89.8511,3.42095,31.2514,115.704,-480.982,-310.036,-728.016,264.676,212.875,-1317.35,264.145,339.344,70.7883,495.085,-58.1183,-43.4608,354.486,-156.243,93.2229,-82.5056,-15.6031,0.0450723,-0.610156,0.135897,-0.458625,-0.563537,-0.582232,-0.732555,-0.280475,-0.175616,-0.601251,-0.296537,-0.663945,0.568038,-0.551047,0.551014,0.650606,-0.327184,0.564519,-0.269386,0.0113745,-0.934842
0.1,12.9825,1.04666,8.06883,-10.6827,-2.13627,-2.9927,70.5298,13.0666,2.75695,1.44623,23.1838,-2.32319,-9.41916,4.69992,77.3411,8.63658,-3.21052,78.8529,21.4088,5.49327,77.1715,-48.7452,-2.65078,90.308,-44.7945,-35.2047,74.269,10.0571,6.94582,73.0516,-2.93929,3.74579,77.8383,-1.79844,1.28398,-126.47,26.8651,17.0861,29.7919,-482.885,-319.348,-695.785,177.74,212.875,-1224.62,380.93,319.864,213.359,334.982,-160.159,-19.9981,254.905,-103.511,67.8971,-63.9942,-24.965,0.0472274,-0.609635,0.1346,-0.455081,-0.564291,-0.589767,-0.726411,-0.29029,-0.186899,-0.581521,-0.286575,-0.67999,0.572504,-0.546509,0.5485,0.652539,-0.324457,0.562098,-0.269934,0.0104067,-0.934794
0.11,14.2483,0.209332,7.33729,-10.1308,-1.78264,-3.10317,69.5852,12.6867,2.86325,1.92539,21.5467,-2.4319,-7.64051,4.65851,77.369,8.5563,-2.88697,78.5237,22.6427,4.98449,77.3009,-46.6138,-2.87665,87.5466,-42.9094,-31.4611,74.241,9.14365,6.75674,73.0827,-3.47732,3.73186,77.8608,-1.85205,1.15495,-151.849,58.6007,1.95849,-37.1162,-534.183,-327.657,-572.76,87.9028,82.4989,-1102.53,394.502,346.227,156.231,207.535,-97.1917,19.0333,193.866,9.30262,-5.90934,-21.0243,21.4373,0.0495182,-0.608961,0.133114,-0.45193,-0.565021,-0.596658,-0.721066,-0.300917,-0.20088,-0.561818,-0.276561,-0.695346,0.575943,-0.541783,0.546902,0.654371,-0.322043,0.559567,-0.270428,0.00937826,-0.934774
0.12,15.4145,-0.576919,6.6135,-9.4794,-1.72129,-3.17287,68.3087,12.3278,2.80585,2.39261,19.9052,-2.5458,-5.73077,4.55755,77.4165,8.45716,-2.56278,78.5477,23.7288,4.59839,77.8305,-44.2602,-3.33396,85.1911,-40.8903,-28.0856,74.2597,8.2507,6.47359,73.1654,-4.01852,3.72257,77.8743,-1.92131,1.02801,-170.901,79.107,16.5965,-100.61,-552.219,-304.181,-449.206,16.1417,-78.6102,-926.77,332.008,395.966,4.88481,251.938,39.5654,4.86796,168.433,54.2224,56.199,69.8575,-4.34173,0.0516953,-0.60816,0.131495,-0.449074,-0.565847,-0.602679,-0.716299,-0.311435,-0.217283,-0.541988,-0.266667,-0.710206,0.578698,-0.536974,0.545773,0.656082,-0.319933,0.556792,-0.271032,0.00834905,-0.934709
0.13,16.464,-1.3841,5.84776,-8.81996,-1.8173,-3.21459,66.7607,11.9144,2.7341,2.83038,18.3407,-2.64351,-3.8752,4.43891,77.4668,8.35499,-2.22828,78.7691,24.6839,4.25504,78.4894,-41.7631,-3.75227,83.2186,-38.6866,-25.0556,74.3032,7.33075,6.19801,73.2757,-4.53273,3.71793,77.8923,-1.99057,0.921883,-177.741,86.4321,24.9032,-158.214,-539.077,-278.809,-416.974,-57.1308,-238.298,-760.699,278.314,455.056,-44.4186,278.314,83.9798,-11.7094,145.99,55.199,-60.5406,107.383,61.0556,0.0539293,-0.607333,0.129803,-0.446597,-0.567036,-0.607666,-0.711301,-0.321415,-0.235398,-0.521557,-0.257164,-0.724989,0.581076,-0.532703,0.544019,0.657625,-0.318108,0.554033,-0.271635,0.00750297,-0.93464
0.14,17.386,-2.23818,5.0697,-8.20602,-1.77937,-3.24019,64.9807,11.4611,2.71921,3.19572,16.8998,-2.70076,-2.37834,4.28748,77.5366,8.2817,-1.9013,78.8739,25.5518,3.83375,78.8806,-39.147,-3.84668,81.5985,-36.2435,-22.3529,74.3686,6.39125,5.96308,73.4066,-5.02314,3.69193,77.8923,-2.1045,0.8324,-204.109,102.532,6.34821,-202.654,-571.795,-260.742,-477.531,-207.545,-371.6,-525.893,266.084,540.509,-6.83045,194.827,53.1989,31.2689,57.6302,50.3164,64.3997,61.0625,15.1961,0.0560294,-0.606715,0.128008,-0.444389,-0.568614,-0.611751,-0.704501,-0.331408,-0.25426,-0.499996,-0.248329,-0.740006,0.583163,-0.529117,0.541483,0.658918,-0.316438,0.55138,-0.272616,0.00677857,-0.934427
0.15,18.2256,-3.08974,4.29209,-7.61777,-1.44869,-3.23972,63.0289,11.0287,2.7915,3.56026,15.5496,-2.73487,-1.39011,4.10585,77.626,8.23578,-1.60268,78.6823,26.3809,3.23946,78.8595,-36.4259,-3.57819,80.3155,-33.5446,-19.9279,74.4743,5.47874,5.72579,73.5755,-5.50721,3.65384,77.9013,-2.20951,0.755403,-211.426,102.049,-31.741,-236.801,-618.651,-220.204,-534.668,-356.931,-412.118,-315.843,271.006,591.807,30.261,104.026,34.6461,6.35904,29.3133,-46.4103,-57.1638,15.6635,50.337,0.0578046,-0.606307,0.126157,-0.442256,-0.570716,-0.615095,-0.695207,-0.341977,-0.273169,-0.477005,-0.240059,-0.755456,0.58488,-0.525832,0.538885,0.660029,-0.314956,0.548665,-0.273525,0.0061762,-0.934235
0.16,18.9965,-3.90948,3.53638,-7.05415,-0.825749,-3.29899,60.8844,10.6069,2.98444,3.90411,14.2277,-2.77014,-0.89168,3.96348,77.7405,8.1704,-1.34058,78.1766,27.1288,2.46791,78.4684,-33.6121,-3.04384,79.3197,-30.582,-17.6994,74.5397,4.58393,5.46958,73.703,-5.98492,3.60462,77.9058,-2.33238,0.66592,-213.388,87.8817,-67.3822,-232.446,-617.201,-195.334,-596.201,-396.469,-264.64,-169.454,271.901,613.754,13.6609,74.2516,26.8454,26.8395,37.5986,-76.6823,103.474,-7.78986,-38.5329,0.0591559,-0.605794,0.124293,-0.44038,-0.573242,-0.617571,-0.683487,-0.353329,-0.291826,-0.452262,-0.232005,-0.771467,0.586468,-0.522477,0.536399,0.661172,-0.313219,0.54617,-0.274562,0.00545183,-0.934004
0.17,19.6895,-4.69741,2.82035,-6.5478,0.00327864,-3.31416,58.5288,10.1851,3.23638,4.2774,12.9081,-2.82507,-0.788069,3.7728,77.8802,8.07857,-1.12445,77.4494,27.7636,1.56053,77.8485,-30.6897,-2.38196,78.5843,-27.4226,-15.6245,74.6672,3.69005,5.22898,73.8857,-6.46264,3.57025,77.9193,-2.42174,0.572275,-199.708,65.4232,-95.6959,-246.6,-657.714,-206.04,-634.781,-306.632,-102.528,-70.2728,220.742,559.08,-31.2545,60.0662,18.0609,35.6545,-31.7255,-114.253,-77.6656,-25.3799,29.8494,0.0600291,-0.605132,0.122481,-0.438694,-0.57638,-0.618954,-0.669751,-0.365487,-0.310305,-0.426084,-0.223945,-0.787675,0.588105,-0.519054,0.533904,0.662222,-0.311858,0.543391,-0.275345,0.00472798,-0.933862
0.18,20.3102,-5.45687,2.15676,-6.12334,0.829028,-3.33881,55.955,9.78001,3.50638,4.64274,11.6202,-2.89445,-0.89796,3.6067,78.0143,7.94841,-0.954089,76.6982,28.2684,0.638355,77.2016,-27.6607,-1.71222,78.0711,-24.1251,-13.6849,74.7761,2.78965,5.0243,74.0476,-6.96098,3.54332,77.9373,-2.54462,0.472387,-198.242,49.8067,-72.7511,-262.189,-719.706,-211.449,-679.669,-115.713,30.7751,29.37,116.188,484.926,-76.1699,82.0093,12.228,51.267,-18.5633,0.513957,61.023,-14.6583,-17.0956,0.0605568,-0.604223,0.120906,-0.437117,-0.580106,-0.619232,-0.654748,-0.377926,-0.32906,-0.398768,-0.215894,-0.803692,0.58988,-0.515711,0.531119,0.663437,-0.310301,0.540538,-0.276389,0.003943,-0.933654
0.19,20.8178,-6.18702,1.51963,-5.80754,1.64682,-3.26912,53.1445,9.37705,3.71739,5.01923,10.4026,-2.94649,-1.12245,3.36855,78.1567,7.79333,-0.827335,75.9441,28.6126,-0.312435,76.5667,-24.5248,-1.07493,77.6919,-20.783,-11.8741,74.9877,1.88832,4.88817,74.2992,-7.46092,3.51174,77.9733,-2.65185,0.389147,-161.128,34.6733,-75.6889,-293.465,-777.347,-217.75,-693.343,-26.3588,216.805,61.5079,48.7721,418.953,-62.0122,-2.95529,-18.5529,29.7779,-62.0351,-29.8095,-97.685,27.809,1.89951,0.0607164,-0.603164,0.119485,-0.43597,-0.584417,-0.618238,-0.638663,-0.390596,-0.348066,-0.370839,-0.208111,-0.818862,0.591262,-0.513328,0.527459,0.664381,-0.309246,0.537347,-0.277311,0.00334145,-0.933509
0.2,21.2113,-6.87697,0.913056,-5.50244,2.3002,-3.18188,50.081,8.99719,3.76417,5.36069,9.25763,-2.97771,-1.17347,3.10409,78.3131,7.6133,-0.725718,75.3874,28.801,-1.17344,76.1274,-21.2735,-0.567462,77.3166,-17.4957,-10.183,75.2303,1.00096,4.73501,74.5853,-7.97196,3.44208,78.0093,-2.80154,0.287178,-126.947,30.7692,-78.1201,-319.843,-824.204,-217.75,-740.714,21.9455,202.129,132.396,5.36941,404.278,-44.9154,-159.216,-44.9064,43.4608,-164.553,75.7058,77.6656,56.1205,-7.86939,0.0605899,-0.601954,0.11807,-0.435245,-0.589191,-0.616044,-0.6223,-0.403083,-0.367884,-0.342865,-0.200816,-0.832447,0.591985,-0.511502,0.523503,0.665103,-0.308175,0.534131,-0.278591,0.00261704,-0.933273
0.21,21.5036,-7.48571,0.3042,-5.1481,2.55125,-3.04865,46.739,8.68867,3.5489,5.76503,8.1761,-2.96326,-0.729985,2.79088,78.4807,7.40044,-0.646658,75.2977,28.8526,-1.83548,76.1364,-17.87,-0.269799,76.8723,-14.318,-8.62732,75.5259,0.154567,4.50481,74.9299,-8.51157,3.33527,78.0543,-2.91324,0.199776,-121.575,48.3378,-72.7511,-311.529,-837.436,-165.055,-709.459,25.8751,167.967,200.67,67.4159,424.797,-94.2189,-301.735,-21.9964,17.1036,-281.754,-45.4338,-49.3249,33.6723,4.88445,0.0602312,-0.600529,0.116696,-0.435255,-0.594114,-0.612884,-0.606686,-0.414674,-0.389653,-0.315296,-0.194354,-0.844052,0.592146,-0.50959,0.520082,0.665614,-0.307122,0.530708,-0.279557,0.0020153,-0.933129
0.22,21.651,-8.07687,-0.248559,-4.79697,2.44212,-3.00266,43.1139,8.42843,3.02483,6.15981,7.15465,-2.94476,0.156201,2.56524,78.6623,7.19,-0.59123,75.6269,28.7713,-2.26072,76.5065,-14.3159,-0.115394,76.3399,-11.2925,-7.23647,75.7499,-0.664824,4.25097,75.1987,-9.07499,3.22475,78.1083,-3.06516,0.110293,-129.881,67.8778,-60.0547,-289.556,-878.945,-118.661,-612.317,-137.718,138.195,333.065,210.451,536.613,-151.843,-328.111,45.3983,57.6261,-387.208,13.6712,72.7211,22.4482,40.0254,0.0596228,-0.599136,0.11532,-0.436277,-0.598315,-0.60933,-0.591493,-0.425492,-0.413126,-0.288585,-0.1889,-0.853604,0.592154,-0.507573,0.516867,0.66639,-0.305501,0.527438,-0.280843,0.00141314,-0.932914
0.23,21.6302,-8.68895,-0.758448,-4.48545,2.13018,-3.05718,39.2172,8.22696,2.1691,6.60952,6.16268,-2.91238,1.33438,2.42417,78.8802,7.01211,-0.531291,76.2314,28.5699,-2.5202,77.0963,-10.6166,-0.0252424,75.7463,-8.44551,-5.99013,75.9085,-1.4628,4.04157,75.3917,-9.67491,3.11515,78.1758,-3.20144,0.029134,-151.849,76.1693,-45.4167,-290.051,-936.497,-50.799,-408.672,-414.546,-78.1084,526.815,306.653,595.183,-142.073,-288.584,48.8418,30.7427,-327.638,-35.1546,-40.0388,-16.5849,35.6836,0.0588743,-0.597984,0.113648,-0.438529,-0.601331,-0.605783,-0.576091,-0.43584,-0.437745,-0.263088,-0.184195,-0.861295,0.592316,-0.505652,0.51351,0.667487,-0.303273,0.524247,-0.282005,0.000933295,-0.932749
0.24,21.4158,-9.35798,-1.19491,-4.24887,1.8604,-3.20274,35.1233,8.10523,1.03166,7.07913,5.27728,-2.89445,2.47881,2.36938,79.1232,6.91845,-0.488108,76.8089,28.2605,-2.74647,77.6108,-6.82811,0.135719,75.122,-5.78524,-4.89054,76.0019,-2.22539,3.89408,75.5123,-10.3145,3.01391,78.2568,-3.36453,-0.060349,-175.779,72.7483,-31.2514,-286.141,-943.385,10.762,-223.626,-695.303,-362.778,787.609,286.667,658.169,-76.6667,-279.275,0.983864,49.3374,-214.842,41.0137,-71.7563,11.7267,104.066,0.057898,-0.597438,0.111828,-0.441792,-0.603164,-0.602406,-0.559232,-0.446232,-0.462163,-0.239002,-0.180195,-0.867391,0.592728,-0.503857,0.510043,0.668957,-0.300434,0.521065,-0.283397,0.000391944,-0.932543
0.25,21.0385,-10.1049,-1.51233,-4.04547,1.97608,-3.35873,30.9087,8.02758,-0.273729,7.5551,4.58687,-2.89503,3.21664,2.29086,79.4081,6.91662,-0.449868,76.9915,27.8667,-3.06384,77.7251,-2.99933,0.378308,74.5015,-3.24671,-4.02578,76.1325,-2.97122,3.77827,75.6605,-10.9843,2.92103,78.3378,-3.55219,-0.162318,-191.897,56.1461,-66.8926,-248.53,-830.548,78.1223,-181.139,-840.336,-416.509,1093.3,123.049,637.26,-20.036,-293.977,-36.6138,72.7562,-148.454,13.6712,-82.972,22.9508,97.689,0.0566893,-0.597554,0.109676,-0.445518,-0.603919,-0.599399,-0.53975,-0.457936,-0.48463,-0.216034,-0.177676,-0.872222,0.593526,-0.501833,0.506719,0.670479,-0.297646,0.517574,-0.284977,-0.000210727,-0.93229
0.26,20.5825,-10.9112,-1.60264,-3.85331,2.57046,-3.46493,26.715,8.0003,-1.55627,7.97377,4.15267,-2.85513,3.38854,2.15884,79.721,7.00694,-0.422368,76.6593,27.466,-3.41377,77.3249,0.801454,0.613685,73.9194,-0.718335,-3.49518,76.3347,-3.68912,3.66246,75.8811,-11.6746,2.79472,78.4323,-3.81134,-0.253882,-175.779,73.734,-105.471,-239.276,-558.11,262.192,-261.718,-802.249,-238.758,1521.55,-33.2605,536.613,-33.2001,-328.628,-45.8902,120.12,-206.556,34.6921,-0.96479,44.8964,117.227,0.0552976,-0.598326,0.107358,-0.449038,-0.603024,-0.597744,-0.517689,-0.471504,-0.504018,-0.193495,-0.177588,-0.87619,0.594497,-0.499616,0.503696,0.671725,-0.295025,0.513822,-0.287174,-0.000692464,-0.931872
0.27,20.131,-11.7452,-1.47995,-3.71415,3.57419,-3.59816,22.6002,8.01079,-2.64002,8.41154,3.88285,-2.80252,3.09812,2.02079,80.0673,7.12706,-0.429888,75.8872,27.0782,-3.79264,76.5306,4.53049,0.630732,73.4023,1.92165,-3.35745,76.5525,-4.40236,3.56981,76.112,-12.3999,2.66004,78.5268,-4.08613,-0.339203,-149.905,86.9153,-163.078,-190.926,-332.527,514.626,-277.834,-646.454,42.9847,1953.65,-188.973,442.329,-75.1764,-404.801,-9.76837,114.243,-382.803,36.1312,-123.011,33.1697,80.0507,0.0534744,-0.599329,0.104953,-0.453033,-0.599607,-0.598203,-0.494377,-0.487062,-0.52016,-0.170481,-0.180509,-0.879684,0.595665,-0.497351,0.500627,0.673024,-0.292242,0.509873,-0.289496,-0.0011134,-0.931406
0.28,19.6904,-12.544,-1.22638,-3.62048,4.72218,-3.74941,18.5782,8.08844,-3.41337,8.8127,3.73321,-2.72909,2.58948,1.91293,80.4221,7.23379,-0.477367,74.9565,26.6805,-4.14158,75.5948,8.14928,0.362245,72.9772,4.74629,-3.58775,76.7672,-5.09233,3.48567,76.3429,-13.1681,2.49193,78.6392,-4.44359,-0.443253,-118.659,115.23,-195.309,-129.412,-165.493,638.696,-51.7657,-539.085,110.347,2321.31,-233.868,350.642,-117.194,-430.142,-16.5851,115.735,-452.652,-49.3398,-122.046,-17.59,34.7339,0.051282,-0.600251,0.102652,-0.458561,-0.592907,-0.601022,-0.471377,-0.503456,-0.533989,-0.146394,-0.186306,-0.883014,0.596775,-0.495209,0.497561,0.674321,-0.289065,0.505825,-0.292496,-0.00159663,-0.930777
0.29,19.2616,-13.3294,-0.893901,-3.57498,5.78306,-3.96324,14.7651,8.23325,-3.78808,9.2051,3.74681,-2.64467,2.02904,1.84649,80.7852,7.33627,-0.550626,74.1305,26.3006,-4.38034,74.7342,11.5738,-0.0724489,72.6899,7.77791,-4.09577,76.9352,-5.76925,3.43368,76.5152,-13.9918,2.31175,78.7382,-4.86359,-0.549384,-106.446,128.914,-211.432,-48.8449,-67.8831,420.89,315.925,-499.003,-84.0042,2551.19,-259.82,223.632,-121.582,-429.699,-40.0573,174.325,-471.215,45.4338,-36.1796,82.003,43.0103,0.0488563,-0.601145,0.100427,-0.465305,-0.583593,-0.605658,-0.449787,-0.518893,-0.546469,-0.121055,-0.194114,-0.886441,0.597856,-0.493289,0.494292,0.675881,-0.285224,0.501739,-0.296037,-0.00214174,-0.929936
0.3,18.7802,-14.0914,-0.501679,-3.57337,6.87719,-4.1453,11.184,8.47251,-3.75088,9.57203,3.89532,-2.50301,1.24568,1.73562,81.14,7.45761,-0.645584,73.2627,25.889,-4.57899,73.8014,14.7324,-0.625159,72.575,10.9658,-4.75281,77.1343,-6.40335,3.40201,76.722,-14.8647,2.07305,78.8102,-5.35733,-0.653434,-86.9174,124.024,-199.226,64.4337,-58.0949,153.791,459.461,-227.556,-381.343,2833.52,-304.267,-1.03894,-65.4482,-418.912,-78.1469,178.711,-479.5,-49.3398,-129.885,69.3549,172.855,0.046292,-0.602164,0.0983222,-0.472415,-0.573399,-0.610547,-0.42934,-0.533554,-0.556917,-0.0947885,-0.202836,-0.890038,0.598762,-0.491742,0.490974,0.677274,-0.281029,0.497497,-0.300185,-0.00268771,-0.928841
